"","Length","gencodeID","ensemblID","gene_type","Symbol","EntrezID","Class","meanExprs","NumTx","gencodeTx","passExprsCut","logFC","AveExpr","t","P.Value","adj.P.Val","B","region","type"
"ENSG00000217801.9",2171,"ENSG00000217801.9","ENSG00000217801","transcribed_unprocessed_pseudogene","",NA,"InGen",0.646700232394921,6,"c(""ENST00000427998.5""; ""ENST00000394517.6""; ""ENST00000456409.5""; ""ENST00000412397.2""; ""ENST00000433695.1""; ""ENST00000451054.1"")",TRUE,0.183644947346725,1.05634480031745,4.26937385522361,2.5170458114903e-05,0.0119327333355498,2.31660709421867,"DLPFC","gene"
"ENSG00000171735.18",10033,"ENSG00000171735.18","ENSG00000171735","protein_coding","CAMTA1",23261,"InGen",17.6194421979619,16,"c(""ENST00000303635.11""; ""ENST00000490738.5""; ""ENST00000476163.5""; ""ENST00000473578.5""; ""ENST00000557126.5""; ""ENST00000467404.6""; ""ENST00000461311.1""; ""ENST00000486138.1""; ""ENST00000482934.1""; ""ENST00000470648.5""; ""ENST00000461580.5""; ""ENST00000472283.1""; ""ENST00000467267.1""; ""ENST00000495233.5""; ""ENST00000490905.5""; ""ENST00000476864.1"")",TRUE,-0.0336986648211588,7.92849415726728,-3.28469907170449,0.00112223973827936,0.0711194190952768,-1.68649191481676,"DLPFC","gene"
"ENSG00000074800.13",3958,"ENSG00000074800.13","ENSG00000074800","protein_coding","ENO1",2023,"InGen",87.6174489094999,6,"c(""ENST00000234590.8""; ""ENST00000464920.1""; ""ENST00000497492.1""; ""ENST00000486051.5""; ""ENST00000492343.1""; ""ENST00000489867.1"")",TRUE,0.0404367614323081,8.68084934108228,3.2763566520055,0.00115491187572312,0.0715348933676542,-1.76455072647237,"DLPFC","gene"
"ENSG00000280222.1",6473,"ENSG00000280222.1","ENSG00000280222","TEC","",NA,"InGen",0.847770217388882,1,"ENST00000624418.1",TRUE,-0.107079115095245,2.6110913668546,-3.14725644072621,0.00178708423506825,0.0860317439267241,-1.49005057724978,"DLPFC","gene"
"ENSG00000070886.11",5358,"ENSG00000070886.11","ENSG00000070886","protein_coding","EPHA8",2046,"InGen",0.288577517478166,2,"c(""ENST00000374644.8""; ""ENST00000166244.7"")",TRUE,0.212771652103304,0.140964442372344,4.30241577180846,2.18530774314795e-05,0.0114621715923581,2.27600867659947,"DLPFC","gene"
"ENSG00000125945.14",4392,"ENSG00000125945.14","ENSG00000125945","protein_coding","ZNF436",80818,"InGen",8.63247443383955,2,"c(""ENST00000314011.8""; ""ENST00000374608.3"")",TRUE,0.0717444310233196,5.26986481186349,3.61895802539019,0.000338598374816732,0.0403677063669577,-0.358347740475064,"DLPFC","gene"
"ENSG00000249087.6",2655,"ENSG00000249087.6","ENSG00000249087","antisense","ZNF436-AS1",NA,"InGen",1.80580756917515,6,"c(""ENST00000458053.4""; ""ENST00000454117.1""; ""ENST00000335648.3""; ""ENST00000518821.1""; ""ENST00000437367.3""; ""ENST00000518600.1"")",TRUE,0.0909716596319373,2.56181311057519,3.58763423256897,0.000380355019643804,0.0428151230331464,-0.105286557028016,"DLPFC","gene"
"ENSG00000204219.9",3515,"ENSG00000204219.9","ENSG00000204219","protein_coding","TCEA3",6920,"InGen",0.935318440955835,6,"c(""ENST00000450454.6""; ""ENST00000476978.1""; ""ENST00000374601.7""; ""ENST00000461794.1""; ""ENST00000374602.2""; ""ENST00000492271.1"")",TRUE,0.13000221426619,1.91790068340326,3.1939068156671,0.00152877872500669,0.0813680046283869,-1.27598809071556,"DLPFC","gene"
"ENSG00000117676.13",5884,"ENSG00000117676.13","ENSG00000117676","protein_coding","RPS6KA1",6195,"InGen",1.49776955410873,20,"c(""ENST00000525525.5""; ""ENST00000526040.6""; ""ENST00000374168.6""; ""ENST00000524436.5""; ""ENST00000374166.8""; ""ENST00000526792.5""; ""ENST00000529454.5""; ""ENST00000530003.5""; ""ENST00000366866.8""; ""ENST00000531113.5""; ""ENST00000374163.5""; ""ENST00000530607.1""; ""ENST00000531382.5""; ""ENST00000525582.1""; ""ENST00000527264.5""; ""ENST00000474934.1""; ""ENST00000488985.1""; ""ENST00000403732.2""; ""ENST00000530305.1""; ""ENST00000438977.1"")",TRUE,-0.12423629797091,3.24341939758184,-3.52736477071297,0.000474630629755887,0.0485501837541167,-0.383918401235904,"DLPFC","gene"
"ENSG00000169403.11",4706,"ENSG00000169403.11","ENSG00000169403","protein_coding","PTAFR",5724,"InGen",0.792506187687224,3,"c(""ENST00000373857.7""; ""ENST00000539896.1""; ""ENST00000305392.3"")",TRUE,-0.231481518146505,1.65289319233549,-3.11618420684244,0.00198087957428588,0.0898207375665295,-1.47246800933712,"DLPFC","gene"
"ENSG00000142687.17",9629,"ENSG00000142687.17","ENSG00000142687","protein_coding","KIAA0319L",79932,"InGen",8.18855797034345,20,"c(""ENST00000325722.7""; ""ENST00000373266.8""; ""ENST00000426982.6""; ""ENST00000461312.5""; ""ENST00000485551.5""; ""ENST00000473423.1""; ""ENST00000473844.1""; ""ENST00000474856.1""; ""ENST00000492544.1""; ""ENST00000440579.5""; ""ENST00000467109.1""; ""ENST00000431916.5""; ""ENST00000482929.6""; ""ENST00000478463.6""; ""ENST00000470388.5""; ""ENST00000492888.1""; ""ENST00000469892.5""; ""ENST00000494948.1""; ""ENST00000476329.1""; ""ENST00000473465.1"")",TRUE,0.0277811267428304,6.66141712865735,3.21205693559352,0.00143796545440781,0.0796600547911492,-1.82100396137897,"DLPFC","gene"
"ENSG00000126070.19",21157,"ENSG00000126070.19","ENSG00000126070","protein_coding","AGO3",192669,"InGen",4.71839158378362,7,"c(""ENST00000324350.9""; ""ENST00000373191.8""; ""ENST00000397828.3""; ""ENST00000634486.1""; ""ENST00000246314.10""; ""ENST00000491443.2""; ""ENST00000471099.1"")",TRUE,-0.040108355228692,6.80718927652043,-3.08864397204753,0.00216865212936114,0.0928152991198106,-2.20868555403863,"DLPFC","gene"
"ENSG00000010803.16",4447,"ENSG00000010803.16","ENSG00000010803","protein_coding","SCMH1",22955,"InGen",6.4087958199369,17,"c(""ENST00000397174.6""; ""ENST00000402904.6""; ""ENST00000361191.9""; ""ENST00000361705.7""; ""ENST00000397171.6""; ""ENST00000326197.11""; ""ENST00000372595.5""; ""ENST00000337495.9""; ""ENST00000372596.5""; ""ENST00000372597.5""; ""ENST00000472037.5""; ""ENST00000456518.3""; ""ENST00000460215.5""; ""ENST00000498793.5""; ""ENST00000489421.1""; ""ENST00000482530.1""; ""ENST00000488592.1"")",TRUE,0.0456849499361362,5.0205403265044,3.78082704204305,0.000183235186602422,0.032497221727503,0.239652225358371,"DLPFC","gene"
"ENSG00000177181.14",8981,"ENSG00000177181.14","ENSG00000177181","protein_coding","RIMKLA",284716,"InGen",7.39784305230368,2,"c(""ENST00000410070.6""; ""ENST00000431473.3"")",TRUE,-0.0685505471345588,6.44899075764341,-3.92092654742087,0.000105812138475672,0.0263344090693056,0.619822072057552,"DLPFC","gene"
"ENSG00000065978.18",1930,"ENSG00000065978.18","ENSG00000065978","protein_coding","YBX1",4904,"InGen",49.6596505004374,4,"c(""ENST00000321358.11""; ""ENST00000332220.10""; ""ENST00000436427.1""; ""ENST00000467957.1"")",TRUE,-0.052654867616299,5.58094382850852,-3.13403701670922,0.00186728871526179,0.0873480102630621,-1.96016957673168,"DLPFC","gene"
"ENSG00000177868.11",1208,"ENSG00000177868.11","ENSG00000177868","protein_coding","SVBP",374969,"InGen",7.48847333566458,3,"c(""ENST00000372522.5""; ""ENST00000372521.8""; ""ENST00000497437.1"")",TRUE,-0.0772382184855638,3.1283869105114,-4.08302785349234,5.4928771375332e-05,0.0202105085364878,1.59818009056852,"DLPFC","gene"
"ENSG00000142949.16",10712,"ENSG00000142949.16","ENSG00000142949","protein_coding","PTPRF",5792,"InGen",11.6184323423787,16,"c(""ENST00000496043.5""; ""ENST00000481019.5""; ""ENST00000617451.4""; ""ENST00000359947.8""; ""ENST00000438120.5""; ""ENST00000436724.5""; ""ENST00000372405.1""; ""ENST00000437607.1""; ""ENST00000467464.1""; ""ENST00000412568.6""; ""ENST00000429895.5""; ""ENST00000414879.5""; ""ENST00000496447.5""; ""ENST00000372407.4""; ""ENST00000463041.1""; ""ENST00000477970.1"")",TRUE,0.0525711795602439,7.33182271782789,3.20202731767485,0.00148751151941252,0.0809495231270586,-1.90390133529705,"DLPFC","gene"
"ENSG00000196517.11",5159,"ENSG00000196517.11","ENSG00000196517","protein_coding","SLC6A9",6536,"InGen",2.13572967252218,11,"c(""ENST00000372307.7""; ""ENST00000372306.7""; ""ENST00000372310.7""; ""ENST00000475075.6""; ""ENST00000357730.6""; ""ENST00000360584.6""; ""ENST00000492434.6""; ""ENST00000528803.1""; ""ENST00000489764.1""; ""ENST00000466926.1""; ""ENST00000533007.1"")",TRUE,-0.130672019797712,3.48395300725896,-3.31428371144641,0.00101316642227068,0.0680560725935065,-1.10375665072613,"DLPFC","gene"
"ENSG00000117419.14",2642,"ENSG00000117419.14","ENSG00000117419","protein_coding","ERI3",79033,"InGen",18.712608047281,9,"c(""ENST00000456170.5""; ""ENST00000372259.9""; ""ENST00000372257.6""; ""ENST00000489710.1""; ""ENST00000479101.1""; ""ENST00000462341.1""; ""ENST00000452396.5""; ""ENST00000495828.1""; ""ENST00000457571.1"")",TRUE,0.0319404046028954,5.90640317314899,3.35272500680718,0.000886137632098198,0.0633398931886112,-1.31047202341567,"DLPFC","gene"
